"event_ts","turbine_id","anomaly_type","severity","wind_speed","power_output","generator_temperature","gearbox_temperature","vibration_level"
"2026-03-16 20:32:32.201048+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","14.04","2990.67","86.27","74.8","1.0283"
"2026-03-16 20:32:32.20151+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","12.21","3000","83.31","75.11","0.9991"
"2026-03-16 20:32:33.217933+00","WT-011","HIGH_GENERATOR_TEMP","WARNING","12.98","3000","87.8","73.01","0.9882"
"2026-03-16 20:32:34.186006+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","13.09","3000","85.24","74.6","0.9163"
"2026-03-16 20:32:34.186527+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","12.6","3000","85.45","76.17","1.0039"
"2026-03-16 20:32:34.186759+00","WT-011","HIGH_GENERATOR_TEMP","WARNING","12.26","3000","86.93","74.63","0.9607"
"2026-03-16 20:32:35.197087+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","12.51","2964.34","85.01","72.44","0.9743"
"2026-03-16 20:32:35.197504+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","12.59","3000","88.65","72.91","0.993"
"2026-03-16 20:32:35.197804+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.12","3000","85.82","76.4","0.9701"
"2026-03-16 20:32:36.193523+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","12.9","2920.35","86.58","73.05","0.942"
"2026-03-16 20:32:36.193899+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","12.48","3000","87.1","75.42","0.995"
"2026-03-16 20:32:37.204457+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","13.32","3000","84.24","75.47","1.0584"
"2026-03-16 20:32:38.230997+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","12.58","2922.57","85.7","73.55","0.9746"
"2026-03-16 20:32:39.234322+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","13.25","3000","86.68","72.37","0.995"
"2026-03-16 20:32:40.236258+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","13.68","3000","85.62","75.47","1.0638"
"2026-03-16 20:32:40.236571+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","12.97","3000","82.93","75.66","0.98"
"2026-03-16 20:32:41.235094+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12","3000","83","76.29","1.0069"
"2026-03-16 20:32:41.235646+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.54","3000","85.06","73.81","0.9938"
"2026-03-16 20:32:41.248412+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.37","2979.49","85.61","75.93","1.0361"
"2026-03-16 20:32:42.240913+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12.14","3000","84.77","76.55","0.9303"
"2026-03-16 20:32:44.24096+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","13.72","3000","86.37","75.16","0.9873"
"2026-03-16 20:32:44.241127+00","WT-011","HIGH_GEARBOX_TEMP","WARNING","11.86","2931.01","82.57","75.96","1.0294"
"2026-03-16 20:32:44.24118+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","12.18","3000","84.39","75.65","0.9928"
"2026-03-16 20:32:45.240866+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","13.7","2995.24","86.93","73.53","0.9647"
"2026-03-16 20:32:45.241023+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","11.61","2611.05","81.1","75.3","0.9206"
"2026-03-16 20:32:48.242154+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.54","3000","86.26","75.15","0.9835"
"2026-03-16 20:32:48.24327+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.61","2981.56","86.03","75.36","1.067"
"2026-03-16 20:32:49.250852+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","13.43","2947","85.26","76.08","0.9898"
"2026-03-16 20:32:50.25218+00","WT-002","UNEXPECTED_ZERO_POWER","WARNING","3.1","0","57.81","57.28","0.2092"
"2026-03-16 20:32:50.255072+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","14.42","3000","85.71","73.93","0.9676"
"2026-03-16 20:32:51.264122+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.43","3000","86.48","76.5","0.9777"
"2026-03-16 20:32:51.264337+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","11.95","2992.26","85.38","74.36","1.0599"
"2026-03-16 20:32:52.260126+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","14.78","2975.55","83.87","75.11","0.9959"
"2026-03-16 20:32:52.260521+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","15.8","3000","86.42","75.06","1.0419"
"2026-03-16 20:32:53.261792+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.98","3000","86.68","73.26","1.005"
"2026-03-16 20:32:53.26199+00","WT-010","UNEXPECTED_ZERO_POWER","WARNING","3.02","0","62.57","55.02","0.1635"
"2026-03-16 20:32:53.262146+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","15.3","2988.52","85.08","76.83","0.9465"
"2026-03-16 20:32:54.259696+00","WT-001","UNEXPECTED_ZERO_POWER","WARNING","3.01","0","59.96","51.44","0.1717"
"2026-03-16 20:32:54.261685+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","14.83","3000","83.65","75.13","0.9871"
"2026-03-16 20:32:54.262611+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","15.23","2950.61","87.68","76.04","1.0171"
"2026-03-16 20:32:55.263707+00","WT-001","UNEXPECTED_ZERO_POWER","WARNING","3","0","60.02","52.93","0.2401"
"2026-03-16 20:32:56.265757+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.92","3000","85.36","71.19","0.9504"
"2026-03-16 20:32:56.266106+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","15.57","2937.86","87.56","73.91","1.017"
"2026-03-16 20:32:57.270488+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","15.8","2924.1","81.23","75.72","1.0208"
"2026-03-16 20:32:58.269033+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","16.89","3000","85.14","74.37","1.0024"
"2026-03-16 20:32:58.269358+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","15.04","3000","84.2","77.03","1.0253"
"2026-03-16 20:32:59.269332+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","16.9","3000","86.58","74.9","1.0121"
"2026-03-16 20:33:00.269968+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","14.48","3000","85.42","71.65","0.9991"
"2026-03-16 20:33:01.273697+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","13.97","2951.63","85.33","78.16","0.9698"
"2026-03-16 20:33:02.272515+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.71","3000","86.82","75.63","1.0273"
"2026-03-16 20:33:03.270767+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.77","3000","85.19","75.07","1.0148"
"2026-03-16 20:33:03.271236+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.04","3000","86.54","71.95","1.0597"
"2026-03-16 20:33:04.282895+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.6","3000","85.96","73.64","0.9919"
"2026-03-16 20:33:05.281558+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","16.32","2969.32","83.68","75.11","1.0567"
"2026-03-16 20:33:05.281946+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.87","3000","87.06","74.07","1.0518"
"2026-03-16 20:33:06.281865+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","15.98","3000","86.88","74.66","1.1274"
"2026-03-16 20:33:06.282153+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.83","2992.85","86.18","74.55","0.9901"
"2026-03-16 20:33:07.281889+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","15.8","2942.13","86.07","75.03","1.0049"
"2026-03-16 20:33:08.282607+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","12.44","2998.87","85.63","75.06","1.0305"
"2026-03-16 20:33:09.282466+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","15","2980.59","82.26","77.19","1.0263"
"2026-03-16 20:33:09.283024+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","14.77","3000","86.44","73.33","0.8832"
"2026-03-16 20:33:10.282127+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12.83","3000","84.48","76.73","0.975"
"2026-03-16 20:33:10.282772+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","15.71","3000","84.51","75.42","1.0691"
"2026-03-16 20:33:10.282861+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","12.93","3000","85.45","74.5","0.9807"
"2026-03-16 20:33:10.283115+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","14.62","2988.22","85.46","77.7","0.9935"
"2026-03-16 20:33:11.282931+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","16.26","3000","82.68","77.22","1.0538"
"2026-03-16 20:33:11.283067+00","WT-009","HIGH_GEARBOX_TEMP","WARNING","12.72","3000","83.62","77.58","0.9871"
"2026-03-16 20:33:11.283324+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","13.14","3000","87.42","74.9","0.9658"
"2026-03-16 20:33:12.282579+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","12.85","2986.49","84.64","76.62","1.0108"
"2026-03-16 20:33:12.284134+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","12.36","2986.76","81.33","75.71","1.0109"
"2026-03-16 20:33:13.282666+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","13.36","2928.3","85.59","75.13","0.9308"
"2026-03-16 20:33:13.283086+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","16.57","3000","86.5","74.29","0.9591"
"2026-03-16 20:33:13.283157+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","13.68","2985.82","85.57","73.36","0.9233"
"2026-03-16 20:33:13.283428+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","12.93","3000","87.29","73.28","1.0523"
"2026-03-16 20:33:14.283869+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","13.8","3000","87.11","77.51","1.0821"
"2026-03-16 20:33:14.284189+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","14.23","2987.19","85.64","72.86","1.0024"
"2026-03-16 20:33:15.283163+00","WT-003","HIGH_GENERATOR_TEMP","WARNING","15.59","3000","85.31","71.47","0.9542"
"2026-03-16 20:33:15.283623+00","WT-008","HIGH_GEARBOX_TEMP","WARNING","15.52","3000","84.06","77.7","1.037"
"2026-03-16 20:33:15.283709+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","13.9","3000","86.84","77.01","0.9628"
"2026-03-16 20:33:15.28396+00","WT-012","HIGH_GENERATOR_TEMP","WARNING","14.76","2921.38","85.7","74.81","1.0089"
"2026-03-16 20:33:16.284764+00","WT-003","HIGH_GEARBOX_TEMP","WARNING","15.11","2986.27","84.96","75.3","0.9784"
"2026-03-16 20:33:16.288188+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","15.43","2930.91","85.02","74.47","0.9583"
"2026-03-16 20:33:16.288336+00","WT-009","HIGH_GENERATOR_TEMP","WARNING","13.76","3000","86.04","73.68","1.021"
"2026-03-16 20:33:16.288721+00","WT-012","HIGH_GEARBOX_TEMP","WARNING","16.32","3000","84.11","75.79","0.975"
"2026-03-16 20:33:17.284711+00","WT-008","HIGH_GENERATOR_TEMP","WARNING","14.67","2980.12","86.71","74.23","1.0333"
